instrument,option_type,strike,expiry_type,expiry_code,signal_time,base_price,entry_level_1,entry_level_2,entry_level_3,parts_filled,part1_time,part1_price,part2_time,part2_price,part3_time,part3_price,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status
SENSEX,CE,78300.0,WEEK,1,2025-01-07 13:31:00+05:30,57.25,60.112500000000004,62.97500000000001,65.83749999999999,3,2025-01-07 13:31:00+05:30,60.112500000000004,2025-01-07 13:31:00+05:30,62.97500000000001,2025-01-07 13:31:00+05:30,65.83749999999999,62.97528625000001,2025-01-07 13:31:00+05:30,56.67775762500001,TARGET,6.297528624999998,9.999999999999995,125.95057249999996,20,CLOSED
SENSEX,PE,78200.0,WEEK,1,2025-01-07 12:58:00+05:30,69.6,73.08,76.56,80.03999999999999,2,2025-01-07 13:53:00+05:30,73.08,2025-01-07 13:53:00+05:30,76.56,,,74.82,2025-01-07 13:53:00+05:30,67.338,TARGET,7.481999999999999,10.0,149.64,20,CLOSED
SENSEX,PE,78100.0,WEEK,1,2025-01-07 14:05:00+05:30,68.4,71.82000000000001,75.24000000000001,78.66,1,2025-01-07 14:06:00+05:30,71.82000000000001,,,,,71.82000000000001,2025-01-07 14:06:00+05:30,64.638,TARGET,7.182000000000002,10.000000000000002,143.64000000000004,20,CLOSED
SENSEX,PE,77900.0,WEEK,1,2025-01-08 09:32:00+05:30,573.0,601.65,630.3000000000001,658.9499999999999,3,2025-01-08 10:28:00+05:30,601.65,2025-01-08 10:41:00+05:30,630.3000000000001,2025-01-08 10:41:00+05:30,658.9499999999999,630.302865,2025-01-08 11:36:00+05:30,567.2725785,TARGET,63.03028649999999,9.999999999999998,1260.6057299999998,20,CLOSED
SENSEX,PE,77700.0,WEEK,1,2025-01-08 11:50:00+05:30,528.65,555.0825,581.515,607.9474999999999,2,2025-01-08 12:01:00+05:30,555.0825,2025-01-08 12:32:00+05:30,581.515,,,568.29875,2025-01-08 13:20:00+05:30,511.468875,TARGET,56.829875000000015,10.000000000000002,1136.5975000000003,20,CLOSED
SENSEX,CE,77800.0,WEEK,1,2025-01-08 11:31:00+05:30,597.25,627.1125000000001,656.975,686.8375,3,2025-01-08 13:44:00+05:30,627.1125000000001,2025-01-08 13:44:00+05:30,656.975,2025-01-08 13:45:00+05:30,686.8375,656.97798625,2025-01-08 14:11:00+05:30,788.3735834999999,STOP_LOSS,-131.39559724999992,-19.99999999999999,-2627.9119449999985,20,CLOSED
SENSEX,CE,78200.0,WEEK,1,2025-01-08 14:14:00+05:30,576.05,604.8525,633.655,662.4574999999999,2,2025-01-08 14:20:00+05:30,604.8525,2025-01-08 14:21:00+05:30,633.655,,,619.2537500000001,2025-01-08 14:28:00+05:30,557.328375,TARGET,61.92537500000003,10.000000000000004,1238.5075000000006,20,CLOSED
SENSEX,PE,77900.0,WEEK,1,2025-01-09 10:46:00+05:30,458.1,481.00500000000005,503.9100000000001,526.8149999999999,3,2025-01-09 10:47:00+05:30,481.00500000000005,2025-01-09 10:47:00+05:30,503.9100000000001,2025-01-09 10:47:00+05:30,526.8149999999999,503.91229050000004,2025-01-09 10:52:00+05:30,604.6947486,STOP_LOSS,-100.78245809999999,-19.999999999999996,-2015.6491619999997,20,CLOSED
SENSEX,PE,77700.0,WEEK,1,2025-01-09 11:02:00+05:30,461.55,484.62750000000005,507.70500000000004,530.7825,2,2025-01-09 12:58:00+05:30,484.62750000000005,2025-01-09 13:34:00+05:30,507.70500000000004,,,496.16625,2025-01-09 14:05:00+05:30,446.549625,TARGET,49.616625,10.0,992.3325,20,CLOSED
SENSEX,PE,77600.0,WEEK,1,2025-01-10 09:32:00+05:30,464.5,487.725,510.95000000000005,534.175,3,2025-01-10 09:33:00+05:30,487.725,2025-01-10 09:33:00+05:30,510.95000000000005,2025-01-10 09:34:00+05:30,534.175,510.95232250000004,2025-01-10 09:58:00+05:30,613.142787,STOP_LOSS,-102.19046449999996,-19.99999999999999,-2043.8092899999992,20,CLOSED
